epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3217.11,2.24133,2.38842,2.00636,0.33734,0.27201,0.24222,0.09772,2.22917,2.57403,2.08796,0.000540037,0.000540037,0.000540037
43,3290.05,2.2652,2.44556,2.0098,0.25996,0.27432,0.22616,0.08104,2.28128,2.50769,2.18138,0.000531038,0.000531038,0.000531038
44,3361.42,2.23048,2.41696,2.00137,0.328,0.29387,0.23639,0.09287,2.23198,2.49904,2.0996,0.000522039,0.000522039,0.000522039
45,3432.73,2.20338,2.38299,1.96187,0.34088,0.28372,0.25494,0.09873,2.28999,2.41724,2.13304,0.00051304,0.00051304,0.00051304
46,3504.31,2.23277,2.3876,1.9882,0.35402,0.31939,0.27308,0.1127,2.23802,2.47096,2.08081,0.00050404,0.00050404,0.00050404
47,3575.57,2.19124,2.33495,1.98541,0.36703,0.29396,0.27764,0.11355,2.25144,2.41303,2.11987,0.000495041,0.000495041,0.000495041
48,3646.63,2.21671,2.33666,1.98892,0.31324,0.31009,0.26353,0.11088,2.20077,2.37266,2.0825,0.000486042,0.000486042,0.000486042
49,3718.3,2.21479,2.39307,2.01159,0.31874,0.32457,0.28065,0.11315,2.22862,2.29777,2.06178,0.000477043,0.000477043,0.000477043
50,3789.54,2.16597,2.25611,1.9592,0.35539,0.3652,0.30461,0.12396,2.1994,2.2558,2.04696,0.000468044,0.000468044,0.000468044
51,3860.75,2.18007,2.35867,1.96592,0.33828,0.34743,0.28315,0.10974,2.21362,2.34568,2.07568,0.000459045,0.000459045,0.000459045
52,3931.91,2.1411,2.26074,1.95517,0.43379,0.31481,0.29401,0.12006,2.18069,2.39497,2.04463,0.000450046,0.000450046,0.000450046
53,4002.88,2.12181,2.2355,1.92001,0.45293,0.36067,0.34423,0.14533,2.16039,2.2223,2.02191,0.000441047,0.000441047,0.000441047
54,4074.31,2.13578,2.23397,1.9434,0.40336,0.34811,0.31102,0.12397,2.21024,2.26559,2.055,0.000432048,0.000432048,0.000432048
55,4144.89,2.09802,2.25195,1.92177,0.42042,0.37351,0.34316,0.14768,2.17637,2.16375,2.02392,0.000423049,0.000423049,0.000423049
56,4215.94,2.13836,2.20777,1.91955,0.4305,0.3286,0.3404,0.14139,2.1806,2.1814,2.02639,0.000414049,0.000414049,0.000414049
57,4286.56,2.09242,2.1659,1.8694,0.43323,0.32717,0.32363,0.13953,2.1499,2.20433,2.00206,0.00040505,0.00040505,0.00040505
58,4357.84,2.14079,2.20066,1.92307,0.42098,0.33747,0.3394,0.13855,2.14946,2.16713,2.02603,0.000396051,0.000396051,0.000396051
59,4429.17,2.09832,2.10062,1.87382,0.48958,0.34761,0.36758,0.15075,2.10192,2.15717,1.98921,0.000387052,0.000387052,0.000387052
60,4500.82,2.11144,2.10334,1.85707,0.47274,0.35548,0.33326,0.1335,2.18191,2.19106,2.00575,0.000378053,0.000378053,0.000378053
61,4571.85,2.08395,2.11031,1.86633,0.55293,0.32079,0.35622,0.1436,2.14659,2.13678,1.99117,0.000369054,0.000369054,0.000369054
62,4643.15,2.08127,2.07404,1.84018,0.60471,0.28228,0.36122,0.15415,2.12665,2.09332,2.02031,0.000360055,0.000360055,0.000360055
63,4714.49,2.06483,2.0899,1.85879,0.43946,0.34128,0.34957,0.15005,2.11977,2.09817,1.98719,0.000351056,0.000351056,0.000351056
64,4785.29,2.09226,2.06158,1.85998,0.49514,0.34163,0.37216,0.16755,2.08732,2.10181,1.96062,0.000342057,0.000342057,0.000342057
65,4856.04,2.02319,2.04927,1.83235,0.48362,0.37185,0.37914,0.16379,2.11217,2.13187,1.9632,0.000333058,0.000333058,0.000333058
66,4927.71,2.02346,1.96832,1.82853,0.48758,0.37063,0.38474,0.15974,2.12133,2.07926,1.97275,0.000324058,0.000324058,0.000324058
67,4998.83,2.05857,2.01811,1.8157,0.53457,0.35462,0.38333,0.15919,2.11031,2.09794,1.97807,0.000315059,0.000315059,0.000315059
68,5069.52,2.00842,2.00357,1.84172,0.4544,0.38454,0.37892,0.16367,2.11164,2.0693,1.96195,0.00030606,0.00030606,0.00030606
69,5140.79,2.04013,1.96533,1.81686,0.46936,0.40563,0.4,0.17196,2.08268,2.08999,1.96349,0.000297061,0.000297061,0.000297061
70,5212.67,2.02987,1.92219,1.7943,0.64364,0.31604,0.39171,0.17111,2.09354,2.02768,1.9519,0.000288062,0.000288062,0.000288062
71,5283.6,2.01428,1.95475,1.80905,0.4656,0.40111,0.40748,0.17502,2.08161,2.03058,1.94687,0.000279063,0.000279063,0.000279063
72,5354.64,2.00523,2.00226,1.81191,0.45958,0.39023,0.40377,0.16995,2.10528,2.04182,1.97583,0.000270064,0.000270064,0.000270064
73,5425.17,2.00302,1.97976,1.81687,0.50858,0.40956,0.42064,0.18388,2.08509,1.95342,1.94466,0.000261065,0.000261065,0.000261065
74,5496.18,1.9839,1.96387,1.80122,0.50526,0.38178,0.40293,0.17711,2.06197,2.01751,1.94072,0.000252066,0.000252066,0.000252066
75,5567.38,2.00612,1.93447,1.76807,0.48243,0.38038,0.4092,0.17815,2.09082,2.01904,1.93829,0.000243067,0.000243067,0.000243067
76,5639.03,2.01768,1.91576,1.7884,0.49952,0.36634,0.39604,0.16747,2.10661,2.02644,1.95855,0.000234068,0.000234068,0.000234068
77,5710.33,1.98097,1.91524,1.78762,0.50628,0.36968,0.4108,0.17871,2.08443,1.98283,1.94541,0.000225068,0.000225068,0.000225068
78,5781.26,1.96421,1.89505,1.79218,0.56448,0.38541,0.43358,0.19383,2.06001,1.99464,1.92532,0.000216069,0.000216069,0.000216069
79,5852.43,1.97633,1.9177,1.77706,0.5376,0.37518,0.4142,0.18199,2.07536,1.98433,1.93943,0.00020707,0.00020707,0.00020707
80,5923.57,1.92495,1.86646,1.76893,0.51285,0.41119,0.41779,0.18177,2.07732,1.97276,1.9349,0.000198071,0.000198071,0.000198071
81,5994.15,1.94598,1.89406,1.76866,0.52509,0.42238,0.43675,0.19357,2.0663,1.96106,1.92874,0.000189072,0.000189072,0.000189072
